case,a,beta_deg,w,x,y,J,P_finish,P_onsite,representative_only
a1700_b0,1700.0,0.0,1,1770.09721066063,-41.9598383601912,1.87819025027083,1,0,True
a1700_b90,1700.0,90.0,0,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.05,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.1,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.2,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.35,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.5,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.65,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.8,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.9,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,0.95,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1700_b90,1700.0,90.0,1,1454.61686507056,412.05763239786,10.727921358426,1,0,True
a1780_b0,1780.0,0.0,0,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.05,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.1,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.2,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.35,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.5,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.65,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.8,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.9,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,0.95,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
a1780_b0,1780.0,0.0,1,1792.5034106813,4.4086956307865e-13,0.0,1,1,True
