field,refinement,time_s,radius_cm,coarse_raw,fine_raw,coarse_4dp,fine_4dp
T,time,681,1.9,30.37215085810499,30.372149670552584,30.3722,30.3721
T,time,688,1.2,29.275650132479875,29.275648390941978,29.2757,29.2756
T,time,693,2.0,30.66165104357861,30.661649973534875,30.6617,30.6616
T,time,697,0.1,28.692250619791754,28.692248719517934,28.6923,28.6922
T,time,703,0.2,28.72025190098239,28.720249980899286,28.7203,28.7202
T,time,707,1.1,29.23775126061394,29.237749441452003,29.2378,29.2377
T,time,715,1.8,30.32735037405492,30.327349151036813,30.3274,30.3273
T,time,716,1.3,29.50235054879627,29.50234883289544,29.5024,29.5023
T,time,718,0.9,29.092751191584444,29.092749285572328,29.0928,29.0927
T,time,718,1.2,29.38745124629063,29.387449462994844,29.3875,29.3874
T,time,719,0.0,28.747850629425294,28.747848640932954,28.7479,28.7478
T,time,719,1.6,29.9672509306105,29.967249502011455,29.9673,29.9672
T,time,721,0.6,28.904351804285962,28.904349837701712,28.9044,28.9043
T,time,723,0.3,28.7961517611444,28.796149763488064,28.7962,28.7961
T,time,724,0.7,28.969950373534676,28.969948408257306,28.9700,28.9699
T,time,724,1.4,29.671451288360785,29.67144966403694,29.6715,29.6714
T,time,725,1.6,29.994151075317802,29.99414965364783,29.9942,29.9941
T,time,726,1.0,29.207350333493697,29.207348441521468,29.2074,29.2073
T,time,730,0.1,28.782651740042716,28.78264970661039,28.7827,28.7826
T,time,730,1.8,30.399251254754247,30.39924997348335,30.3993,30.3992
T,time,734,0.8,29.068951213245665,29.068949236903034,29.0690,29.0689
T,time,736,0.1,28.799651737476058,28.799649678876815,28.7997,28.7996
T,time,737,0.8,29.078850562043854,29.078848577953043,29.0789,29.0788
T,time,739,1.6,30.057050186082737,30.05704872614524,30.0571,30.0570
T,time,741,0.1,28.813951979250838,28.813949899765973,28.8140,28.8139
T,time,743,1.4,29.75065083691358,29.750649208578032,29.7507,29.7506
T,time,744,0.9,29.18115147484405,29.181149511697285,29.1812,29.1811
T,time,745,1.3,29.618250245332757,29.6182485336035,29.6183,29.6182
T,time,757,0.7,29.076051713157764,29.076049651269415,29.0761,29.0760
T,time,757,1.7,30.32675077319774,30.32674930963234,30.3268,30.3267
T,time,759,1.4,29.818050233493967,29.81804856598282,29.8181,29.8180
T,time,763,0.8,29.16635060058758,29.16634856215753,29.1664,29.1663
T,time,769,0.2,28.90965192401309,28.909649739460605,28.9097,28.9096
T,time,774,0.6,29.07155030724867,29.071548175117346,29.0716,29.0715
T,time,774,0.8,29.204250632682477,29.20424857329746,29.2043,29.2042
T,time,777,1.6,30.231050065682126,30.231048475611807,30.2311,30.2310
T,time,778,0.1,28.923552177330038,28.923549956503365,28.9236,28.9235
T,time,778,2.0,31.109250699123262,31.109249410504244,31.1093,31.1092
T,time,779,1.2,29.624951805593753,29.624949955560375,29.6250,29.6249
T,time,780,1.2,29.628950618546742,29.628948766085877,29.6290,29.6289
T,time,784,0.7,29.166550537422445,29.166548416706988,29.1666,29.1665
T,time,786,0.0,28.94355131264821,28.943549063750357,28.9436,28.9435
T,time,795,2.0,31.19955036176915,31.199549223168045,31.1996,31.1995
T,time,796,0.1,28.97925187364486,28.979249597075714,28.9793,28.9792
T,time,801,1.3,29.8494504770758,29.849448640488138,29.8495,29.8494
T,time,809,0.5,29.13535096476139,29.135348720761197,29.1354,29.1353
T,time,809,1.5,30.200151602784608,30.20014994943218,30.2002,30.2001
T,time,810,0.2,29.037852093529192,29.037849787413233,29.0379,29.0378
T,time,810,0.7,29.256650426939615,29.256648249115173,29.2567,29.2566
T,time,813,0.9,29.42945088206832,29.429448787713614,29.4295,29.4294
T,time,818,0.8,29.360852047154722,29.360849894677532,29.3609,29.3608
T,time,819,0.3,29.09115117399789,29.091148860232625,29.0912,29.0911
T,time,821,1.2,29.796050908346572,29.79604899348614,29.7961,29.7960
T,time,826,0.9,29.47835206984643,29.478349953113934,29.4784,29.4783
T,time,833,0.9,29.50495071822554,29.50494859290886,29.5050,29.5049
T,time,834,2.0,31.397450769567417,31.397449697700807,31.3975,31.3974
T,time,839,0.0,29.1134500846143,29.113447697598733,29.1135,29.1134
T,time,846,1.9,31.20735046076753,31.207349293919496,31.2074,31.2073
T,time,854,0.1,29.168851114143397,29.16884869794476,29.1689,29.1688
T,time,855,0.1,29.172250947080833,29.17224852884226,29.1723,29.1722
T,time,858,0.2,29.197651359979478,29.197648945595816,29.1977,29.1976
T,time,859,1.6,30.615650070801802,30.61564861704902,30.6157,30.6156
T,time,864,1.5,30.451250354314165,30.45124879583179,30.4513,30.4512
T,time,866,0.9,29.632651823671473,29.632649686091423,29.6327,29.6326
T,time,871,0.2,29.242652291236283,29.24264985355069,29.2427,29.2426
T,time,872,1.4,30.314250077003056,30.314248414544874,30.3143,30.3142
T,time,878,0.0,29.24645183543772,29.246449371969593,29.2465,29.2464
T,time,880,0.7,29.512850955429986,29.51284868442675,29.5129,29.5128
T,time,880,0.8,29.594351517844046,29.594349310343098,29.5944,29.5943
T,time,881,0.0,29.256950766708485,29.256948298657125,29.2570,29.2569
T,time,886,0.2,29.295452016465042,29.29544955707316,29.2955,29.2954
T,time,889,1.5,30.56565107435644,30.565649512932236,30.5657,30.5656
T,time,892,0.6,29.487851301755025,29.487848971680275,29.4879,29.4878
T,time,892,0.8,29.64105097958784,29.641048773185776,29.6411,29.6410
T,time,895,1.0,29.854950680793323,29.85494863491445,29.8550,29.8549
T,time,897,0.2,29.33475134244513,29.334748871080226,29.3348,29.3347
T,time,897,1.1,29.983550113289485,29.98354815880964,29.9836,29.9835
T,time,898,0.9,29.75965052973204,29.759648400708652,29.7597,29.7596
T,time,898,1.2,30.121551012476164,30.121549153739707,30.1216,30.1215
T,time,899,0.4,29.406051289858436,29.406048869009453,29.4061,29.4060
T,time,899,1.5,30.61155056019375,30.611548996616904,30.6116,30.6115
T,time,900,0.2,29.345552407370878,29.3455499333285,29.3456,29.3455
T,time,912,0.1,29.372951454740644,29.372948958543724,29.3730,29.3729
T,time,917,1.1,30.06785081269641,30.067848863017243,30.0679,30.0678
T,time,917,2.0,31.821050343713026,31.82104903654826,31.8211,31.8210
T,time,920,0.4,29.4839513968634,29.483948968593047,29.4840,29.4839
T,time,920,1.0,29.95805114547718,29.95804910679002,29.9581,29.9580
T,time,922,0.4,29.491451879305657,29.49144945077647,29.4915,29.4914
T,time,923,1.2,30.229450940578726,30.229449080534533,30.2295,30.2294
T,time,925,1.3,30.388251602582425,30.388249826488963,30.3883,30.3882
T,time,930,1.9,31.630550368156847,31.630548923754933,31.6306,31.6305
T,time,931,1.0,30.003851601087884,30.00384956195684,30.0039,30.0038
T,time,939,1.4,30.61635020067608,30.6163484476224,30.6164,30.6163
T,time,940,0.3,29.520551141921892,29.5205486786217,29.5206,29.5205
T,time,941,0.2,29.49655201631148,29.496549527773027,29.4966,29.4965
T,time,947,0.2,29.519152144333297,29.519149656444302,29.5192,29.5191
T,time,951,0.8,29.876551365821495,29.876549165406274,29.8766,29.8765
T,time,955,0.8,29.892851337944716,29.892849135475764,29.8929,29.8928
T,time,956,0.7,29.809851946426786,29.809849678254125,29.8099,29.8098
T,time,957,1.2,30.3782519367228,30.37824999924302,30.3783,30.3782
T,time,969,1.4,30.755451309203735,30.75544943811536,30.7555,30.7554
T,time,970,1.4,30.76015114223414,30.76014926820866,30.7602,30.7601
T,time,974,1.5,30.964151627715154,30.964149811886546,30.9642,30.9641
T,time,977,2.0,32.15545114135466,32.155449948146476,32.1555,32.1554
T,time,980,0.0,29.622651186822136,29.622648687519632,29.6227,29.6226
T,time,980,0.5,29.766752236218323,29.76674985421971,29.7668,29.7667
T,time,980,1.1,30.339250977029142,30.33924891646307,30.3393,30.3392
T,time,980,1.2,30.4808508063834,30.480848800596032,30.4809,30.4808
T,time,981,1.1,30.3436501521813,30.343648089233834,30.3437,30.3436
T,time,982,1.3,30.645950457706043,30.645948507967763,30.6460,30.6459
T,time,983,0.9,30.109750097784623,30.10974792034808,30.1098,30.1097
T,time,984,0.6,29.84695198145484,29.846949643892422,29.8470,29.8469
T,time,985,0.3,29.693850941614297,29.693848486598682,29.6939,29.6938
T,time,990,0.0,29.661451333476677,29.661448836814923,29.6615,29.6614
T,time,993,0.0,29.673151395792516,29.673148899702003,29.6732,29.6731
T,time,994,0.4,29.77005095698036,29.770048531886957,29.7701,29.7700
T,time,995,0.6,29.891550759734574,29.891548413305568,29.8916,29.8915
T,time,1001,1.5,31.095650702829428,31.095649000634438,31.0957,31.0956
T,time,1004,1.5,31.110251141152354,31.11024945205986,31.1103,31.1102
T,time,1006,0.2,29.74755057627704,29.74754809785477,29.7476,29.7475
T,time,1008,0.4,29.826050977351404,29.826048546088128,29.8261,29.8260
T,time,1009,0.5,29.88335072169058,29.883348323307303,29.8834,29.8833
T,time,1011,0.8,30.125751289852623,30.125749021254123,30.1258,30.1257
T,time,1015,0.6,29.97355168692505,29.97354932233383,29.9736,29.9735
T,time,1015,1.7,31.589950428001035,31.58994904360275,31.5900,31.5899
T,time,1031,0.1,29.82965195957562,29.82964946115393,29.8297,29.8296
T,time,1031,0.9,30.316251804726445,30.316249595943088,30.3163,30.3162
T,time,1035,1.6,31.46695108060084,31.466949528100518,31.4670,31.4669
T,time,1036,1.7,31.694150479216304,31.694148940053463,31.6942,31.6941
T,time,1038,0.2,29.875851902716065,29.875849411846918,29.8759,29.8758
T,time,1043,1.4,31.107450234028224,31.10744849031812,31.1075,31.1074
T,time,1044,1.5,31.304050450816106,31.304048763187094,31.3041,31.3040
T,time,1044,1.7,31.734650405624475,31.73464876035211,31.7347,31.7346
T,time,1045,0.0,29.880252111663125,29.880249603203527,29.8803,29.8802
T,time,1047,1.4,31.12655096213377,31.126549196783817,31.1266,31.1265
T,time,1047,1.9,32.24905009663126,32.2490484640576,32.2491,32.2490
T,time,1050,0.6,30.119851574940558,30.119849201009355,30.1199,30.1198
T,time,1052,0.3,29.963250980717,29.963248502858804,29.9633,29.9632
T,time,1056,0.1,29.931152316789582,29.93114980781775,29.9312,29.9311
T,time,1057,0.1,29.93525052892561,29.93524801966526,29.9353,29.9352
T,time,1057,1.1,30.685250345565,30.685248321849805,30.6853,30.6852
T,time,1057,1.5,31.36765072395771,31.367648921847085,31.3677,31.3676
T,time,1058,0.1,29.939351647190364,29.939349137659192,29.9394,29.9393
T,time,1061,1.6,31.596951325694054,31.596949502431027,31.5970,31.5969
T,time,1068,2.0,32.65625130515276,32.656249636819965,32.6563,32.6562
T,time,1075,0.2,30.027952258786776,30.02794976030323,30.0280,30.0279
T,time,1075,0.3,30.05875047096325,30.05874799351723,30.0588,30.0587
T,time,1076,1.8,32.15145068201853,32.15144880738942,32.1515,32.1514
T,time,1077,0.6,30.234951094759573,30.234948732091016,30.2350,30.2349
T,time,1078,1.9,32.43075044117937,32.43074862719483,32.4308,32.4307
T,time,1080,0.6,30.247851225452717,30.24784886328789,30.2479,30.2478
T,time,1083,1.3,31.12075060671955,31.120748572259192,31.1208,31.1207
T,time,1084,0.5,30.196151738979243,30.196149331811412,30.1962,30.1961
T,time,1084,2.0,32.7574507816298,32.757449224968425,32.7575,32.7574
T,time,1085,0.4,30.14425084781596,30.144248402962926,30.1443,30.1442
T,time,1087,0.3,30.109151954401316,30.10914948019931,30.1092,30.1091
T,time,1094,0.7,30.39075124836426,30.390748929347573,30.3908,30.3907
T,time,1096,1.7,32.014450492218536,32.01444863616406,32.0145,32.0144
T,time,1102,0.2,30.14135215806319,30.14134966635791,30.1414,30.1413
T,time,1102,1.3,31.213450800147225,31.213448671949454,31.2135,31.2134
T,time,1102,2.0,32.863851044182454,32.86384963314593,32.8639,32.8638
T,time,1104,0.6,30.351852358920407,30.351849986101005,30.3519,30.3518
T,time,1104,1.0,30.764650020957784,30.764647799954417,30.7647,30.7646
T,time,1109,1.3,31.248051329508435,31.24804919164319,31.2481,31.2480
T,time,1112,1.6,31.867050936036485,31.867049059131183,31.8671,31.8670
T,time,1113,0.3,30.219650316363545,30.219647844369213,30.2197,30.2196
T,time,1118,1.0,30.829651116976432,30.829648851539314,30.8297,30.8296
T,time,1125,0.4,30.315850875493176,30.31584841922839,30.3159,30.3158
T,time,1135,0.2,30.282550834440887,30.282548335043074,30.2826,30.2825
T,time,1138,1.3,31.39315054070993,31.393148440456688,31.3932,31.3931
T,time,1140,1.2,31.23115102016954,31.23114884270672,31.2312,31.2311
T,time,1141,1.6,32.02275159336098,32.02274982944407,32.0228,32.0227
T,time,1142,1.9,32.79815082394966,32.798149396144055,32.7982,32.7981
T,time,1143,0.4,30.394452171329988,30.394449693196712,30.3945,30.3944
T,time,1143,0.8,30.707751587782063,30.70774920949319,30.7078,30.7077
T,time,1145,0.7,30.618152031982515,30.61814961997696,30.6182,30.6181
T,time,1147,1.6,32.054851578196974,32.054849827987674,32.0549,32.0548
T,time,1150,1.5,31.84845180416109,31.848449942502597,31.8485,31.8484
T,time,1154,0.5,30.501550746060197,30.501548271161507,30.5016,30.5015
T,time,1158,1.4,31.68415073971114,31.684148780215832,31.6842,31.6841
T,time,1161,1.8,32.62865027774945,32.62864869535222,32.6287,32.6286
T,time,1162,0.3,30.432750865523957,30.432748346177238,30.4328,30.4327
T,time,1164,1.4,31.7151501183663,31.71514816257025,31.7152,31.7151
T,time,1164,1.9,32.92195105820615,32.921949558762094,32.9220,32.9219
T,time,1165,0.7,30.709451405293137,30.709448971025044,30.7095,30.7094
T,time,1169,0.7,30.727852308714656,30.72784987187858,30.7279,30.7278
T,time,1176,0.2,30.462050574323,30.46204802571619,30.4621,30.4620
T,time,1178,0.1,30.451252521812687,30.45124996420638,30.4513,30.4512
T,time,1179,0.7,30.774052300234814,30.774049859132777,30.7741,30.7740
T,time,1181,0.1,30.464550845434218,30.464548283829245,30.4646,30.4645
T,time,1182,0.3,30.521652147538827,30.52164960238987,30.5217,30.5216
T,time,1188,1.0,31.1638501632033,31.16384788501691,31.1639,31.1638
T,time,1189,0.2,30.519952089442558,30.519949524629066,30.5200,30.5199
T,time,1191,1.4,31.855251729389625,31.855249765400583,31.8553,31.8552
T,time,1193,1.7,32.545850033740855,32.54584832644477,32.5459,32.5458
T,time,1194,0.2,30.542350193498347,30.542347623139893,30.5424,30.5423
T,time,1195,0.3,30.580050250787863,30.580047692055537,30.5801,30.5800
T,time,1195,0.5,30.686851301436505,30.68684878595915,30.6869,30.6868
T,time,1199,0.6,30.779251920581956,30.77924943579366,30.7793,30.7792
T,time,1204,0.4,30.6676508546531,30.667648308297927,30.6677,30.6676
T,time,1208,0.7,30.909550438536,30.90954799344668,30.9096,30.9095
T,time,1210,1.2,31.581351634917414,31.581349502554072,31.5814,31.5813
T,time,1211,0.0,30.592252033177523,30.592249436023746,30.5923,30.5922
T,time,1211,1.4,31.95985143869206,31.959849465484062,31.9599,31.9598
T,time,1214,0.2,30.632650379675294,30.632647791797677,30.6327,30.6326
T,time,1218,1.9,33.229450541900086,33.229449206162634,33.2295,33.2294
T,time,1221,0.4,30.745651933740707,30.74564937921394,30.7457,30.7456
T,time,1223,0.2,30.673650356949047,30.673647763526233,30.6737,30.6736
T,time,1224,0.9,31.20715094387002,31.207148604620798,31.2072,31.2071
T,time,1228,0.9,31.226652303763878,31.22664996454525,31.2267,31.2266
T,time,1228,1.5,32.26215025508411,32.26214843862599,32.2622,32.2621
T,time,1229,0.8,31.112950017597438,31.11294762120375,31.1130,31.1129
T,time,1229,1.1,31.513750251728453,31.51374804765161,31.5138,31.5137
T,time,1231,1.7,32.755150860227324,32.755149329703464,32.7552,32.7551
T,time,1234,1.7,32.77145079955718,32.771449283845605,32.7715,32.7714
T,time,1240,1.3,31.915250489863542,31.915248489021582,31.9153,31.9152
T,time,1243,0.0,30.738251120839443,30.738248505586284,30.7383,30.7382
T,time,1243,1.4,32.128251422826345,32.128249549267565,32.1283,32.1282
T,time,1248,1.1,31.609550092031675,31.60954791643891,31.6096,31.6095
T,time,1250,0.8,31.214650385063315,31.214647993726288,31.2147,31.2146
T,time,1261,2.0,33.757350698858005,33.75734949203866,33.7574,33.7573
T,time,1262,1.0,31.529450857267847,31.529448624835602,31.5295,31.5294
T,time,1262,1.1,31.68045066461349,31.680448523787597,31.6805,31.6804
T,time,1262,1.2,31.847050181796494,31.84704814466556,31.8471,31.8470
T,time,1263,1.7,32.927051117713425,32.927049707511124,32.9271,32.9270
T,time,1265,0.5,31.0137503114946,31.0137477828693,31.0138,31.0137
T,time,1265,0.6,31.090650394683202,31.090647907537114,31.0907,31.0906
T,time,1266,0.6,31.095450075814306,31.095447589220957,31.0955,31.0954
T,time,1267,0.6,31.10025202129191,31.100249535283755,31.1003,31.1002
T,time,1267,1.3,32.05545039325143,32.055448489106965,32.0555,32.0554
T,time,1268,0.1,30.86115226522517,30.861149648482677,30.8612,30.8611
T,time,1268,2.0,33.796551019528636,33.796549664250705,33.7966,33.7965
T,time,1271,1.2,31.893250740710396,31.89324873300623,31.8933,31.8932
T,time,1271,1.7,32.96955094698996,32.96954945876421,32.9696,32.9695
T,time,1272,0.9,31.44335090810619,31.44334861409583,31.4434,31.4433
T,time,1274,1.2,31.90865195082729,31.908649952548018,31.9087,31.9086
T,time,1274,1.3,32.09175019610128,32.09174831409907,32.0918,32.0917
T,time,1275,0.4,30.998451950523016,30.998449391080285,30.9985,30.9984
T,time,1275,0.5,31.061451543801084,31.061449019593017,31.0615,31.0614
T,time,1280,0.2,30.938352396879836,30.938349792408946,30.9384,30.9383
T,time,1281,0.1,30.922152397885288,30.922149781988633,30.9222,30.9221
T,time,1281,1.8,33.288550506292474,33.28854891986984,33.2886,33.2885
T,time,1288,0.9,31.52295108983959,31.52294883022335,31.5230,31.5229
T,time,1290,0.8,31.41085096828308,31.410848632994043,31.4109,31.4108
T,time,1292,0.3,31.03025251803178,31.030249939074928,31.0303,31.0302
T,time,1293,1.7,33.08875107766157,33.08874936688123,33.0888,33.0887
T,time,1299,1.4,32.42175181589813,32.421749964184535,32.4218,32.4217
T,time,1302,1.7,33.138751215231046,33.138749444177364,33.1388,33.1387
T,time,1308,1.4,32.46925067262294,32.46924877283689,32.4693,32.4692
T,time,1311,1.4,32.48515072132099,32.485148805664096,32.4852,32.4851
T,time,1312,0.5,31.2398503217825,31.239847837886437,31.2399,31.2398
T,time,1312,0.8,31.51985202586623,31.519849724272603,31.5199,31.5198
T,time,1314,0.1,31.078852259666967,31.078849663611322,31.0789,31.0788
T,time,1316,1.6,32.965050489435235,32.965048608622325,32.9651,32.9650
T,time,1324,1.0,31.84205101318381,31.842048845778216,31.8421,31.8420
T,time,1326,0.4,31.2435511415924,31.2435486330988,31.2436,31.2435
T,time,1327,0.2,31.162651784554715,31.162649218732955,31.1627,31.1626
T,time,1328,0.0,31.138950862312793,31.13894827801874,31.1390,31.1389
T,time,1329,1.3,32.37865130248691,32.3786492649066,32.3787,32.3786
T,time,1335,0.4,31.287350774078117,31.287348276730516,31.2874,31.2873
T,time,1335,0.7,31.52555115521969,31.52554880131824,31.5256,31.5255
T,time,1342,0.3,31.271151146465918,31.271148624386885,31.2712,31.2711
T,time,1343,1.7,33.37365097712202,33.37364922422719,33.3737,33.3736
T,time,1345,2.0,34.26815055163026,34.26814916697979,34.2682,34.2681
T,time,1349,0.6,31.500651342021502,31.50064893882634,31.5007,31.5006
T,time,1357,1.9,34.02545061777695,34.02544916375709,34.0255,34.0254
T,time,1360,1.2,32.35545030274988,32.35544816442173,32.3555,32.3554
T,time,1361,1.3,32.54975167614515,32.54974960192102,32.5498,32.5497
T,time,1362,0.4,31.41965073137694,31.419648255600013,31.4197,31.4196
T,time,1370,0.6,31.605152070664083,31.605149661085804,31.6052,31.6051
